episode,p1_wins,p2_wins,draws,avg_game_length,epsilon,loss,q_value_mean,rolling_p1_wr,rolling_p2_wr,rolling_draw_wr,rolling_game_length,rolling_loss
151,1,0,0,31,0.47147873742168567,0.0,0.1317302750592882,57.99999999999999,42.0,0.0,35.04,0.003446914607193321
152,1,0,0,16,0.46912134373457726,0.0,0.1269808292388916,57.99999999999999,42.0,0.0,34.74,0.003446914607193321
153,0,1,0,33,0.46677573701590436,0.0,0.1456699590472614,56.00000000000001,44.0,0.0,34.58,0.003446914607193321
154,1,0,0,19,0.46444185833082485,0.0,0.12320062704384327,56.00000000000001,44.0,0.0,33.7,0.003446914607193321
155,0,1,0,38,0.46211964903917074,0.0,0.1359604905049006,54.0,46.0,0.0,34.0,0.003446914607193321
156,0,1,0,21,0.4598090507939749,0.0,0.1401354127696582,54.0,46.0,0.0,34.14,0.003446914607193321
157,1,0,0,23,0.457510005540005,0.0,0.12826360762119293,56.00000000000001,44.0,0.0,34.12,0.003446914607193321
158,0,1,0,57,0.45522245551230495,0.0,0.12703225191901713,56.00000000000001,44.0,0.0,33.58,0.003446914607193321
159,0,1,0,23,0.4529463432347434,0.0,0.11815049052238465,54.0,46.0,0.0,33.08,0.003446914607193321
160,0,1,0,35,0.4506816115185697,9.984108328353614e-05,0.13829489209150014,52.0,48.0,0.0,32.64,0.0029953140844008884
161,1,0,0,17,0.4484282034609769,0.0,0.1458083763718605,54.0,46.0,0.0,32.88,0.0029953140844008884
162,1,0,0,41,0.446186062443672,0.0,0.1470462240278721,54.0,46.0,0.0,32.96,0.0029953140844008884
163,0,1,0,32,0.4439551321314536,0.0,0.12164842656680516,52.0,48.0,0.0,32.94,0.0029953140844008884
164,1,0,0,26,0.4417353564707963,0.0,0.1383371725678444,54.0,46.0,0.0,32.86,0.0029953140844008884
165,1,0,0,41,0.43952667968844233,0.0,0.12561367484538452,56.00000000000001,44.0,0.0,33.3,0.0029953140844008884
166,0,1,0,56,0.43732904629000013,0.0,0.13550835503981665,54.0,46.0,0.0,33.46,0.0029953140844008884
167,1,0,0,24,0.4351424010585501,0.0,0.14942718297243118,54.0,46.0,0.0,33.4,0.0029953140844008884
168,0,1,0,58,0.43296668905325736,0.0,0.12921519577503204,52.0,48.0,0.0,34.02,0.0029953140844008884
169,1,0,0,32,0.43080185560799106,0.0,0.13974755108356476,52.0,48.0,0.0,34.1,0.0029953140844008884
170,0,1,0,42,0.4286478463299511,0.03995354846119881,0.11315575454916273,50.0,50.0,0.0,34.12,0.003789874046051409
171,1,0,0,21,0.42650460709830135,0.0,0.12163998600509432,52.0,48.0,0.0,33.9,0.003789874046051409
172,1,0,0,37,0.42437208406280985,0.0,0.13124961372126231,52.0,48.0,0.0,34.0,0.003789874046051409
173,0,1,0,20,0.4222502236424958,0.0,0.1423513326379988,50.0,50.0,0.0,32.54,0.003789874046051409
174,0,1,0,37,0.42013897252428334,0.0,0.12507512498843043,50.0,50.0,0.0,32.84,0.003789874046051409
175,0,1,0,27,0.4180382776616619,0.0,0.12122746722565757,50.0,50.0,0.0,32.96,0.003789874046051409
176,1,0,0,19,0.4159480862733536,0.0,0.13041313271969557,50.0,50.0,0.0,32.6,0.003789874046051409
177,1,0,0,40,0.41386834584198684,0.0,0.12505591218359768,50.0,50.0,0.0,32.88,0.003789874046051409
178,1,0,0,28,0.4117990041127769,0.0,0.11248822323977947,50.0,50.0,0.0,33.12,0.003789874046051409
179,0,1,0,22,0.40974000909221303,0.0,0.1303649009205401,50.0,50.0,0.0,33.08,0.003789874046051409
180,0,1,0,26,0.40769130904675194,0.0001311084342887625,0.11760664845888431,50.0,50.0,0.0,32.78,0.0025580937071936205
181,0,1,0,12,0.40565285250151817,0.0,0.12764260297020277,48.0,52.0,0.0,32.72,0.0025580937071936205
182,1,0,0,24,0.4036245882390106,0.0,0.12135012509922187,50.0,50.0,0.0,32.76,0.0025580937071936205
183,1,0,0,30,0.4016064652978155,0.0,0.12435698118947801,50.0,50.0,0.0,32.1,0.0025580937071936205
184,0,1,0,34,0.3995984329713264,0.0,0.11902577591978986,48.0,52.0,0.0,31.92,0.0025580937071936205
185,0,1,0,50,0.3976004408064698,0.0,0.12805140176505753,46.0,54.0,0.0,32.32,0.0025580937071936205
186,0,1,0,37,0.39561243860243744,0.0,0.10902315080165863,44.0,56.00000000000001,0.0,32.86,0.0025580937071936205
187,0,1,0,40,0.3936343764094253,0.0,0.13124811133513084,44.0,56.00000000000001,0.0,32.56,0.0025580937071936205
